date,comb,damp,n,breakdown_rate,stopgo_pct,ramp_standstills,merges,jam_min,v_jam,q_discharge,T_car_truck
2025-09-22,settled,0.9,7,71.0,7.84,207.29,3373.14,42.0,35.58,3241.87,1.10/1.40
2025-09-22,settled,0.95,7,57.0,5.88,161.0,3316.14,26.25,43.65,3409.05,1.10/1.40
2025-09-22,settled,1.0,7,71.0,11.06,278.43,3351.14,43.0,40.07,3061.37,1.10/1.40
2025-09-22,longer,0.9,7,100.0,19.69,614.29,3602.0,100.71,23.53,2864.12,1.20/1.50
2025-09-22,longer,0.95,7,100.0,4.96,162.14,3382.0,32.86,40.77,3280.66,1.20/1.50
2025-09-22,longer,1.0,7,86.0,11.08,306.43,3470.14,65.83,29.57,3067.55,1.20/1.50
2025-10-07,settled,0.9,7,100.0,18.99,857.71,4213.71,172.14,21.0,2858.22,1.10/1.40
2025-10-07,settled,0.95,7,100.0,15.19,712.0,4067.14,125.71,27.83,2967.35,1.10/1.40
2025-10-07,settled,1.0,7,86.0,15.11,679.57,3996.14,120.83,28.94,2988.03,1.10/1.40
2025-10-07,longer,0.9,7,100.0,18.13,721.71,4315.86,203.57,19.5,2802.31,1.20/1.50
2025-10-07,longer,0.95,7,100.0,17.05,650.43,4228.86,165.0,18.6,2867.05,1.20/1.50
2025-10-07,longer,1.0,7,100.0,10.61,405.14,4165.14,152.14,20.09,3014.94,1.20/1.50
2025-10-27,settled,0.9,7,29.0,9.12,263.86,3902.43,37.5,32.06,2635.0,1.10/1.40
2025-10-27,settled,0.95,7,57.0,13.19,420.86,3990.57,68.75,24.16,2710.72,1.10/1.40
2025-10-27,settled,1.0,7,71.0,12.47,401.71,4024.71,58.0,28.01,2825.92,1.10/1.40
2025-10-27,longer,0.9,7,29.0,6.93,207.29,3958.57,22.5,50.82,2727.5,1.20/1.50
2025-10-27,longer,0.95,7,86.0,18.3,599.43,4298.14,119.17,19.82,2724.92,1.20/1.50
2025-10-27,longer,1.0,7,43.0,9.24,263.14,4022.71,36.67,28.51,2780.89,1.20/1.50
